Name,Address,Borough,ConstInit,ConstituencyCode,Attributes,Distance
Regal Battery Park,102 North End Avenue,M,R,Retail Space,A-Theaters & Cinemas,14241
New York City Police Museum,100 Old Slip,M,R,Retail Space,A-Museums & Performing Arts,16798
Federal Hall National Memorial,26 Wall Street,M,R,Retail Space,A-Attractions & Landmarks,16365
9/11 Memorial Preview Site,20 Vesey Street,M,R,Retail Space,A-Attractions & Landmarks,15093
African American Art Gallery,105 Nassau Street,M,R,Retail Space,A-Museums & Performing Arts,14936
Tribute WTC,120 Liberty Street,M,R,Retail Space,A-Museums & Performing Arts,17941
Center for Castle Garden Immigration,1 Broadway,M,R,Retail Space,A-Museums & Performing Arts,18114
Ellis Island National Museum,Ellis Island,E,R,Retail Space,A-Attractions & Landmarks,25230
Wall Street Synagogue,47 Beekman Street,M,R,Retail Space,C-Religious Institutions,15893
Riverdale Temple,4545 Independence Ave. ,X,C,Commercial Property Owner,C-Religious Institutions,11555
Manhattan By Sail,"South Street Seaport, Pier 17",M,R,Retail Space,V-Sightseeing,15515
Poets House,10 River Terrace,M,N,Non-Profit,A-Museums & Performing Arts,14310
Christian Cultural Center,12020 Flatlands Ave. ,K,B,DLMA Member,A-Museums & Performing Arts,34341
Hostos Center for Arts ,450 Grand Concourse,X,R,Retail Space,A-Museums & Performing Arts,4277
Universal Hip Hop Museum,555 Bergen,X,R,Retail Space,A-Museums & Performing Arts,5164
Cannon's Walk,206 Front Street,M,R,Retail Space,A-Attractions & Landmarks,15456
The River Vineyard Christian Fellowship,"250 Greenwich Street, ",M,R,Retail Space,C-Religious Institutions,14364
New York Public Library,175 North End Avenue,M,R,Retail Space,C-Public Library,14206
Bike & Roll Bike Rentals,"South Street Seaport, Pier 17",M,C,Corporation,V-Sightseeing,15515
NY Waterway Tours,Pier A,M,R,Retail Space,V-Sightseeing,15199
