Name,Address,Borough,ConstInit,ConstituencyCode,Attributes,Distance
Synagogue for the Arts,49 White Street,M,R,Retail Space,C-Religious Institutions,14202
Action Center To End World Hunger,6 River Terrace,M,R,Retail Space,A-Museums & Performing Arts,14372
Circle Line Downtown,"South Street Seaport, Pier 17",M,R,Retail Space,V-Sightseeing,15515
Circle Line Downtown,"South Street Seaport, Pier 17",M,B,DLMA Former Member,V-Sightseeing,15515
"3 Legged Dog, Inc.",80 Greenwich Street,M,R,Retail Space,A-Theaters & Cinemas,17693
Church of Our Lady of the Rosary,7-8 State Street,M,R,Retail Space,C-Religious Institutions,16619
Irish Hunger Memorial,Battery Park City,M,R,Retail Space,A-Attractions & Landmarks,14577
Trinity Church,74 Trinity Place,M,R,Retail Space,C-Religious Institutions,17759
Our Savior Catholic Church,Washington Ave,X,R,Retail Space,A-Attractions & Landmarks,5628
Museum of American Finance,48 Wall Street,M,R,Retail Space,A-Museums & Performing Arts,16934
Bodies The Exhibition,11 Fulton Street,M,C,Cultural Institution,A-Museums & Performing Arts,15476
Grace Exhibition Space,840 Broadway,K,R,Retail Space,A-Museums & Performing Arts,12807
Ellis Island Tours with Tom Bernardin,68 3RD Street,K,R,Retail Space,V-Sightseeing,13831
The Skyscraper Museum,39 Battery Place,M,R,Retail Space,A-Museums & Performing Arts,15243
Brooklyn Museum,200 Eastern Parkway,K,C,Cultural Institution,A-Museums & Performing Arts,23159
Museum of Jewish Heritage-A Living Memorial to the Holocaust,36 Battery Place,M,R,Retail Space,A-Museums & Performing Arts,15212
Jewish Children's Museum,792 Eastern Pkwy,K,M,Commercial Property Owner,A-Museums & Performing Arts,24248
Intercoastal Adventures,"South Street Seaport, Pier 17",M,R,Retail Space,V-Sightseeing,15515
Lower Manhattan Community Church,201 Warren Street,M,R,Retail Space,C-Religious Institutions,13904
Ministry of Culture,315 West Street,M,I,Institutional Building,C-Religious Institutions,12695
NYSE Euronext,11 Wall Street,M,B,DLMA Member,V-Sightseeing,16381
Bronx Museum Of the Arts,1040 Grand Concourse,X,P,Corporation,V-Sightseeing,5294
MOFAD Lab,62 Bayard Street,K,R,Retail Space,V-Sightseeing,14561
City Reliquary Museum,370 Metropolitan Ave.,K,R,Retail Space,A-Attractions & Landmarks,17955
St. Paul's Chapel,209 Broadway,M,R,Retail Space,A-Attractions & Landmarks,14819
World Financial Center Arts & Events Program,3 World Financial Center,M,R,Retail Space,A-Museums & Performing Arts,14454
"Statue of Liberty, Museum Services Division",Liberty Island,L,C,Corporation,A-Attractions & Landmarks,22890
Immigration Museum,Liberty Island,L,R,Retail Space,A-Attractions & Landmarks,22890
World Financial Center,West Street,M,R,Retail Space,A-Attractions & Landmarks,13210
Gray Line Double Decker Bus Tours,49 West 45th Street,M,R,Retail Space,V-Sightseeing,10432
Schimmel Center for the Arts,1 Pace Plaza,M,R,Retail Space,A-Theaters & Cinemas,15036
American Merchant Mariners Memorial,"Water's edge in Battery Park, adjacent to Pier A",M,R,Retail Space,A-Attractions & Landmarks,15199
Bronx River Art Center,1087 E Tremont Ave.,X,I,Institutional Building,C-Religious Institutions,12589
Messiah's Reformed Fellowship,241 Water Street,M,R,Retail Space,C-Religious Institutions,15561
Battery Park Synagogue,385 South End Avenue,M,R,Retail Space,C-Religious Institutions,14605
Central Synagogue,652 Lexington Ave.,M,G,Religious Institution,C-Religious Institutions,10153
New York Public Library,9 Murray Street,M,R,Retail Space,C-Public Library,14652
Shooting Star Theater,40 Peck Slip,M,R,Retail Space,A-Theaters & Cinemas,15369
Castle Clinton National Monument,1 Battery Park,M,R,Retail Space,A-Attractions & Landmarks,16827
African Burial Ground National Memorial,290 Broadway,M,R,Retail Space,A-Attractions & Landmarks,14416
"""Charging Bull"" at Bowling Green",Broadway at Bowling Green,M,R,Retail Space,A-Attractions & Landmarks,16891
Fraunces Tavern Museum,54 Pearl Street,M,R,Retail Space,A-Museums & Performing Arts,16968
John Street United Methodist Church,44 John Street,M,R,Retail Space,C-Religious Institutions,15104
Park Slope United Methodist,410 6th Ave.,K,G,Religious Institution,C-Religious Institutions,13567
Our Lady of Victory Church,60 William Street,M,R,Retail Space,C-Religious Institutions,16282
Our Lady of Mount Carmel,275 N 8th St.,K,C,Commercial Property Owner,C-Religious Institutions,17702
St. Peter's Roman Catholic Church,22 Barclay Street,M,R,Retail Space,C-Religious Institutions,14832
Co-Cathedral of St. Joseph,856 Pacific St.,K,C,Commercial Property Owner,C-Religious Institutions,22198
Wall Street Helicopter Tours,Pier 6,M,R,Retail Space,V-Sightseeing,24643
National Museum of the American Indian,1 Bowling Green,M,R,Retail Space,A-Museums & Performing Arts,16874
